tag,release_datetime
v1.0.0-beta,2024-10-24T10:12:58
v1.0.1-beta,2024-10-31T10:23:08
v1.0.2-beta,2024-11-07T14:13:47
v1.0.3-beta,2024-11-19T10:27:30
v1.0.4-beta,2024-11-21T14:00:44
v1.0.5-beta,2024-11-28T10:15:00
v1.0.6-beta,2024-12-05T10:49:00
v1.0.7-beta,2025-01-08T15:44:59
v1.0.8-beta,2025-01-16T09:04:35
v1.0.9-beta,2025-01-23T11:00:31
v1.0.10-beta,2025-02-07T10:02:18
v1.0.11-beta,2025-02-13T09:40:24
v1.0.12-beta,2025-02-26T13:15:29
v1.0.13-beta,2025-03-06T08:41:32
v1.0.14-beta,2025-03-13T08:41:56
v1.0.15-beta,2025-03-20T08:46:54
v1.0.16-beta,2025-03-27T11:30:44
v1.0.17-beta,2025-04-03T09:41:14
v1.0.18-beta,2025-04-14T11:16:10
v1.0.19-beta,2025-04-24T10:04:55
v1.0.20-beta,2025-05-01T07:25:27
v1.0.21-beta,2025-05-08T08:55:04
v1.0.22-beta,2025-05-15T15:17:16
v1.0.23-beta,2025-05-29T09:32:36
v1.0.24-beta,2025-06-09T11:11:31
v1.0.25-beta,2025-06-13T09:24:58
v1.0.26-beta,2025-07-07T12:46:41
v1.0.27-beta,2025-07-14T08:06:43
v1.0.28-beta,2025-07-17T08:28:57
v1.0.29-beta,2025-07-23T14:41:49
v1.0.30-beta,2025-07-31T09:55:09
v1.0.31-beta,2025-08-08T11:03:26
v1.0.32-beta,2025-08-08T11:58:45
v1.0.33-beta,2025-08-13T22:40:17
v1.0.34-beta,2025-08-27T11:26:18
v1.0.35-beta,2025-09-03T12:16:21
v1.0.36-beta,2025-09-11T11:35:50
v1.0.37-beta,2025-09-17T11:58:26
v1.0.38-beta,2025-10-01T11:50:33
v1.0.39-beta,2025-10-08T11:51:35
v1.0.40-beta,2025-10-16T13:31:48
v1.0.41-beta,2025-10-23T10:05:57
